rank,word,count,occurrence_percentage,cumulative_percentage
627,"detrás",62621,0.01515278,72.47727465
628,"cuarto",62590,0.01514528,72.49241993
629,"querida",62549,0.01513536,72.50755529
630,"haría",62547,0.01513488,72.52269017
631,"preguntas",62505,0.01512471,72.53781488
632,"piensas",62433,0.01510729,72.55292217
633,"querido",62425,0.01510535,72.56802752
634,"libre",62421,0.01510439,72.58313191
635,"buscar",62319,0.01507971,72.59821162
636,"cual",62288,0.01507220,72.61328382
637,"diré",62193,0.01504922,72.62833303
638,"suena",62170,0.01504365,72.64337669
639,"jugar",62132,0.01503446,72.65841114
640,"cambio",62106,0.01502816,72.67343931
641,"película",61985,0.01499889,72.68843819
